200	200	200	200	200	200	200	200	200	200
200	23.4904	12.4711	12.1196	12.1121	12.112	12.1119	12.1044	11.7453	0
200	12.4711	0.763868	0.390416	0.382429	0.3823	0.382293	0.381934	0.366785	0
200	12.1196	0.390416	0.0162642	0.00826262	0.00813395	0.00813214	0.00812294	0.00776064	0
200	12.1121	0.382429	0.00826262	0.000260645	0.000131997	0.000130337	0.000130156	0.00012397	0
200	12.112	0.3823	0.00813395	0.000131997	3.34919e-06	1.69251e-06	1.67247e-06	1.5896e-06	0
200	12.1119	0.382293	0.00813213	0.000130337	1.69251e-06	3.59112e-08	1.80954e-08	1.70203e-08	0
200	12.1044	0.381934	0.00812294	0.000130156	1.67247e-06	1.80954e-08	3.29861e-10	1.57708e-10	0
200	11.7453	0.366785	0.00776064	0.00012397	1.5896e-06	1.70203e-08	1.57708e-10	2.51669e-12	0
200	0	0	0	0	0	0	0	0	0
